epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6668333411216736,9.999999747378752e-06,0.8260942101478577,0.8711666464805603,0.3566092252731323
1,0.852231502532959,9.999999747378752e-06,0.39989227056503296,0.9258333444595337,0.21389076113700867
2,0.8921948671340942,9.999999747378752e-06,0.298577219247818,0.9478333592414856,0.1599494367837906
3,0.9089469313621521,9.999999747378752e-06,0.25523242354393005,0.9548333287239075,0.13719217479228973
4,0.9210734963417053,9.999999747378752e-06,0.2274661362171173,0.9589999914169312,0.12173113971948624
5,0.8935283422470093,9.999999747378752e-06,0.2855550944805145,0.9536666870117188,0.13570110499858856
6,0.9209484457969666,9.999999747378752e-06,0.22250314056873322,0.965833306312561,0.10603702813386917
7,0.9305746555328369,9.999999747378752e-06,0.19024203717708588,0.9700000286102295,0.09211639314889908
8,0.9376171827316284,9.999999747378752e-06,0.17246024310588837,0.9729999899864197,0.08406084030866623
9,0.9444097280502319,9.999999747378752e-06,0.15699662268161774,0.9750000238418579,0.07800880074501038
10,0.9481601715087891,9.999999747378752e-06,0.14718133211135864,0.9764999747276306,0.07353346049785614
11,0.9517022967338562,9.999999747378752e-06,0.1408289074897766,0.9783333539962769,0.07060456275939941
12,0.9542859792709351,9.999999747378752e-06,0.13256067037582397,0.9791666865348816,0.06898711621761322
13,0.95316082239151,9.999999747378752e-06,0.1322876662015915,0.9798333048820496,0.06650569289922714
14,0.9567446112632751,9.999999747378752e-06,0.12402685731649399,0.9808333516120911,0.06366190314292908
15,0.9581614136695862,9.999999747378752e-06,0.11673605442047119,0.9804999828338623,0.06282709538936615
16,0.9592032432556152,9.999999747378752e-06,0.11741914600133896,0.9818333387374878,0.061516180634498596
17,0.9604117274284363,9.999999747378752e-06,0.11123382300138474,0.9819999933242798,0.0610751248896122
18,0.9603284001350403,9.999999747378752e-06,0.11096382141113281,0.9828333258628845,0.05920969322323799
19,0.9620369076728821,9.999999747378752e-06,0.10535086691379547,0.9826666712760925,0.057825300842523575
20,0.9620785713195801,9.999999747378752e-06,0.10622210055589676,0.9828333258628845,0.05707972124218941
21,0.9653289914131165,9.999999747378752e-06,0.10246816277503967,0.9829999804496765,0.05683482810854912
22,0.9644122123718262,9.999999747378752e-06,0.0961972251534462,0.9828333258628845,0.05744626000523567
23,0.9664124846458435,9.999999747378752e-06,0.0935768112540245,0.9829999804496765,0.05714273452758789
24,0.9641205072402954,2.9999998787388904e-06,0.09755757451057434,0.9833333492279053,0.056973353028297424
